Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
"Fortnite,44.1,Kids,59.47,Nintendo Switch,Yes,Game Freak,Nintendo,2010,Fighting,Yes,51.3,Medium,Poor,Good,""Disappointing game, but the graphics could be better."",Online,10"
"Animal Crossing: New Horizons,27.9,Kids,38.83,PlayStation,Yes,Game Freak,Activision,2010,Simulation,No,28.2,Medium,Good,Average,""Solid game, but the graphics could be better."",Offline,3"
"Pok̩mon Scarlet & Violet,20.7,Kids,28.78,Mobile,No,Game Freak,Square Enix,2012,Puzzle,No,19.0,Ultra,Average,Excellent,""Disappointing game, but the graphics could be better."",Offline,2"
"Rocket League,25.8,Adults,44.95,Xbox,No,Valve,Valve,2013,Fighting,No,8.6,Low,Poor,Average,""Solid game, but the graphics could be better."",Offline,8"
"Kingdom Hearts III,37.9,Adults,50.94,PC,No,Epic Games,Innersloth,2012,Simulation,Yes,40.7,Low,Excellent,Excellent,""Amazing game, but the gameplay is amazing."",Offline,3"
"1000-Piece Puzzle,25.5,Teens,35.87,PlayStation,Yes,Innersloth,Valve,2010,Puzzle,Yes,23.1,Medium,Excellent,Poor,""Great game, but the graphics could be better."",Offline,2"
"Mario Kart 8 Deluxe,28.6,Kids,30.57,Mobile,Yes,Nintendo,Capcom,2012,Sports,No,44.7,Low,Average,Poor,""Solid game, but the gameplay is amazing."",Online,8"
"Hitman 3,27.2,Kids,23.23,Xbox,No,Rockstar Games,Epic Games,2010,Shooter,Yes,56.7,Ultra,Good,Average,""Solid game, but the gameplay is amazing."",Online,10"
"Just Dance 2024,18.8,Kids,33.64,PlayStation,Yes,Valve,Square Enix,2022,Simulation,No,5.6,Medium,Good,Poor,""Disappointing game, but too many bugs."",Online,10"
"Among Us,38.2,Kids,50.38,Nintendo Switch,Yes,EA Sports,Innersloth,2014,RPG,No,48.5,Low,Good,Average,""Disappointing game, but too many bugs."",Online,2"
"1000-Piece Puzzle,15.6,All Ages,21.62,Nintendo Switch,Yes,Game Freak,Innersloth,2010,Shooter,Yes,13.3,High,Poor,Good,""Amazing game, but the graphics could be better."",Offline,1"
"Stardew Valley,27.0,All Ages,28.81,PlayStation,No,Bungie,Capcom,2017,Puzzle,No,47.2,High,Poor,Average,""Solid game, but the graphics could be better."",Offline,10"
"The Witcher 3: Wild Hunt,30.6,Adults,50.94,PlayStation,No,Rockstar Games,Valve,2021,Fighting,No,14.0,Low,Poor,Average,""Great game, but the gameplay is amazing."",Online,1"
"Grand Theft Auto V,20.3,All Ages,30.94,Xbox,No,CD Projekt Red,Electronic Arts,2016,Adventure,No,15.4,Medium,Excellent,Good,""Amazing game, but the gameplay is amazing."",Online,1"
"Tetris,32.0,Kids,53.87,PlayStation,Yes,EA Sports,Epic Games,2012,Simulation,Yes,18.8,Medium,Poor,Average,""Amazing game, but the gameplay is amazing."",Offline,8"
"The Witcher 3: Wild Hunt,39.1,Adults,55.26,Xbox,No,Innersloth,Take-Two Interactive,2011,Shooter,No,31.9,Ultra,Average,Average,""Amazing game, but too many bugs."",Offline,6"
"Portal 2,23.2,Adults,21.49,PlayStation,Yes,Valve,Electronic Arts,2021,Puzzle,Yes,47.0,High,Good,Average,""Solid game, but too many bugs."",Online,2"
"Street Fighter V,35.7,Teens,51.76,PC,Yes,Epic Games,Activision,2011,Fighting,Yes,34.8,High,Average,Excellent,""Solid game, but too many bugs."",Offline,10"
"The Witcher 3: Wild Hunt,33.4,Adults,56.32,PC,Yes,CD Projekt Red,Nintendo,2010,Strategy,Yes,11.0,Ultra,Good,Good,""Great game, but the gameplay is amazing."",Offline,6"
"Kingdom Hearts III,21.2,Teens,29.97,PC,No,Epic Games,Valve,2012,Simulation,Yes,17.1,Low,Excellent,Excellent,""Solid game, but the graphics could be better."",Online,5"
"Street Fighter V,25.4,All Ages,31.89,Nintendo Switch,Yes,Innersloth,Capcom,2018,Party,Yes,31.8,Medium,Average,Average,""Amazing game, but the gameplay is amazing."",Offline,5"
"Animal Crossing: New Horizons,30.6,Kids,50.64,Mobile,No,Nintendo,Square Enix,2019,Strategy,Yes,16.4,High,Average,Excellent,""Amazing game, but the gameplay is amazing."",Online,3"
"The Legend of Zelda: Breath of the Wild,16.8,Adults,29.3,PC,Yes,Capcom,Valve,2022,Sports,Yes,10.0,Ultra,Average,Excellent,""Solid game, but the graphics could be better."",Online,3"
"Ghost of Tsushima,26.0,All Ages,33.03,PC,No,Rockstar Games,Innersloth,2010,Strategy,Yes,37.4,Medium,Good,Excellent,""Great game, but too many bugs."",Online,7"
"Tetris,33.1,Adults,36.58,Nintendo Switch,No,Valve,Capcom,2014,Action,No,45.2,Medium,Good,Excellent,""Great game, but the gameplay is amazing."",Offline,2"
"Sid Meier�۪s Civilization VI,27.0,Adults,47.23,PC,No,Epic Games,Nintendo,2021,Sports,No,6.2,High,Average,Poor,""Great game, but the graphics could be better."",Online,8"
"The Legend of Zelda: Breath of the Wild,48.4,Kids,58.02,Xbox,No,CD Projekt Red,Epic Games,2023,Simulation,No,58.9,Medium,Excellent,Excellent,""Amazing game, but the graphics could be better."",Offline,6"
"Super Mario Odyssey,20.7,All Ages,34.68,Xbox,No,Game Freak,Activision,2012,Sports,Yes,7.2,Low,Poor,Good,""Disappointing game, but the gameplay is amazing."",Offline,8"
"Half-Life: Alyx,23.7,Adults,29.44,Nintendo Switch,No,Valve,Square Enix,2018,Sports,No,31.1,Medium,Excellent,Excellent,""Solid game, but the graphics could be better."",Offline,7"
"Fortnite,36.8,Teens,54.72,Nintendo Switch,No,Innersloth,Take-Two Interactive,2019,Adventure,Yes,24.9,Medium,Poor,Average,""Amazing game, but too many bugs."",Online,8"
"Call of Duty: Modern Warfare 2,24.6,Adults,25.36,Mobile,No,EA Sports,Take-Two Interactive,2014,Strategy,Yes,36.1,Medium,Average,Good,""Solid game, but the graphics could be better."",Online,1"
"Super Mario Odyssey,30.7,Adults,51.14,Xbox,Yes,Bungie,Epic Games,2014,Strategy,Yes,16.9,Medium,Poor,Excellent,""Amazing game, but the gameplay is amazing."",Offline,8"
"Halo Infinite,28.0,All Ages,51.94,PlayStation,No,Innersloth,Valve,2012,Fighting,Yes,12.4,Medium,Good,Poor,""Disappointing game, but too many bugs."",Online,5"
"Kingdom Hearts III,48.3,All Ages,59.93,PC,Yes,Valve,Capcom,2018,Adventure,No,59.7,Medium,Excellent,Poor,""Great game, but the graphics could be better."",Online,7"
"Super Mario Odyssey,29.7,Adults,33.86,PlayStation,No,Rockstar Games,Innersloth,2018,Action,Yes,47.8,Ultra,Poor,Good,""Great game, but too many bugs."",Offline,2"
"Overwatch 2,22.8,All Ages,41.15,PC,Yes,Game Freak,Activision,2018,Simulation,No,12.8,Medium,Good,Average,""Great game, but the graphics could be better."",Online,2"
"Fortnite,39.4,Adults,51.28,Nintendo Switch,Yes,Valve,Nintendo,2010,Party,No,39.3,Low,Average,Poor,""Solid game, but too many bugs."",Online,1"
"Fall Guys,25.1,All Ages,27.47,Mobile,No,CD Projekt Red,Activision,2012,Puzzle,No,34.7,Ultra,Average,Good,""Disappointing game, but the graphics could be better."",Offline,10"
"Overwatch 2,34.7,Adults,44.3,Mobile,Yes,Valve,Square Enix,2010,Simulation,No,43.9,Low,Good,Average,""Solid game, but the graphics could be better."",Offline,3"
"The Legend of Zelda: Breath of the Wild,29.1,Teens,45.97,Xbox,No,Innersloth,Activision,2020,Party,No,26.0,Low,Good,Average,""Great game, but the graphics could be better."",Offline,8"
"Hades,41.9,All Ages,46.99,Mobile,No,CD Projekt Red,Epic Games,2012,RPG,Yes,56.1,Ultra,Poor,Poor,""Solid game, but the gameplay is amazing."",Offline,10"
"Fortnite,35.6,Teens,48.65,PC,No,Game Freak,Innersloth,2023,Simulation,No,43.8,Medium,Average,Average,""Amazing game, but the graphics could be better."",Offline,7"
"Tomb Raider (2013),24.5,Kids,39.93,Xbox,No,Bungie,Innersloth,2017,Shooter,No,18.1,Low,Poor,Excellent,""Disappointing game, but too many bugs."",Offline,4"
"Counter-Strike: Global Offensive,35.9,Adults,48.0,Mobile,No,CD Projekt Red,Nintendo,2012,Action,No,38.1,Low,Excellent,Good,""Disappointing game, but the graphics could be better."",Online,4"
"Tomb Raider (2013),24.9,All Ages,21.08,Nintendo Switch,No,Rockstar Games,Take-Two Interactive,2021,Action,No,48.9,Medium,Excellent,Good,""Great game, but the gameplay is amazing."",Online,1"
"Street Fighter V,26.6,Kids,33.79,PlayStation,No,CD Projekt Red,Take-Two Interactive,2010,Shooter,Yes,37.2,Medium,Average,Excellent,""Disappointing game, but the graphics could be better."",Offline,1"
"The Legend of Zelda: Breath of the Wild,25.9,All Ages,22.91,PlayStation,Yes,CD Projekt Red,Square Enix,2012,Action,No,45.4,Low,Excellent,Good,""Amazing game, but the graphics could be better."",Offline,8"
"Counter-Strike: Global Offensive,26.8,All Ages,45.45,PlayStation,Yes,Game Freak,Take-Two Interactive,2017,Party,Yes,8.1,Low,Average,Poor,""Disappointing game, but the graphics could be better."",Offline,7"
"Tekken 7,39.5,Teens,56.18,PC,Yes,CD Projekt Red,Take-Two Interactive,2015,Party,Yes,35.6,High,Poor,Good,""Disappointing game, but the graphics could be better."",Online,5"
"Fortnite,27.9,All Ages,22.82,Xbox,No,Nintendo,Square Enix,2010,Action,No,49.0,High,Good,Excellent,""Solid game, but the graphics could be better."",Offline,5"
"Counter-Strike: Global Offensive,29.9,Adults,33.29,Nintendo Switch,Yes,Innersloth,Innersloth,2013,Action,Yes,48.1,Low,Excellent,Average,""Solid game, but the graphics could be better."",Online,8"
"Hades,32.2,All Ages,56.59,Nintendo Switch,No,Valve,Electronic Arts,2021,RPG,No,7.6,High,Good,Excellent,""Great game, but the gameplay is amazing."",Online,7"
"FIFA 24,38.6,All Ages,52.73,PlayStation,Yes,Epic Games,Capcom,2018,RPG,No,44.5,Medium,Excellent,Excellent,""Amazing game, but too many bugs."",Offline,2"
"League of Legends,28.0,Teens,26.05,PlayStation,Yes,Valve,Electronic Arts,2017,Action,No,53.1,High,Poor,Poor,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Fall Guys,15.7,All Ages,25.55,Mobile,No,Rockstar Games,Capcom,2019,Action,Yes,8.6,Low,Good,Excellent,""Great game, but the gameplay is amazing."",Offline,4"
"Hades,20.5,Adults,39.6,PlayStation,Yes,Epic Games,Square Enix,2016,Adventure,Yes,6.2,Ultra,Excellent,Good,""Great game, but the graphics could be better."",Online,6"
"The Witcher 3: Wild Hunt,38.2,All Ages,58.3,Nintendo Switch,No,EA Sports,Epic Games,2017,Shooter,No,36.4,High,Good,Poor,""Great game, but too many bugs."",Offline,5"
"Pillars of Eternity II: Deadfire,34.0,Adults,33.88,PC,No,Capcom,Valve,2010,Shooter,Yes,55.2,Low,Poor,Average,""Great game, but the gameplay is amazing."",Online,4"
"Call of Duty: Modern Warfare 2,24.9,Adults,39.74,Nintendo Switch,No,Rockstar Games,Epic Games,2023,Fighting,Yes,22.8,Medium,Good,Good,""Amazing game, but the graphics could be better."",Online,4"
"Stardew Valley,39.1,Kids,50.7,PlayStation,No,Capcom,Nintendo,2015,Adventure,No,48.2,Medium,Excellent,Good,""Disappointing game, but too many bugs."",Online,10"
"FIFA 24,37.9,All Ages,56.1,PC,Yes,Bungie,Square Enix,2012,Strategy,Yes,39.1,Low,Average,Average,""Disappointing game, but the graphics could be better."",Offline,5"
"Grand Theft Auto V,21.5,Adults,35.24,PlayStation,No,Bungie,Square Enix,2010,Sports,No,14.9,Medium,Excellent,Excellent,""Solid game, but the gameplay is amazing."",Offline,6"
"Street Fighter V,36.7,Teens,52.65,PlayStation,No,Innersloth,Epic Games,2014,Shooter,Yes,29.7,Ultra,Excellent,Excellent,""Great game, but the graphics could be better."",Offline,10"
"Pillars of Eternity II: Deadfire,26.1,Kids,49.03,Xbox,No,CD Projekt Red,Electronic Arts,2011,Simulation,No,6.8,Medium,Poor,Good,""Disappointing game, but the gameplay is amazing."",Offline,2"
"Super Mario Odyssey,32.2,Kids,35.21,PlayStation,Yes,Bungie,Activision,2018,RPG,No,53.3,High,Good,Good,""Disappointing game, but too many bugs."",Online,7"
"Among Us,39.9,All Ages,51.31,PC,Yes,Valve,Valve,2023,Puzzle,Yes,45.8,Ultra,Poor,Poor,""Disappointing game, but the graphics could be better."",Offline,5"
"Minecraft,44.8,Teens,56.32,Nintendo Switch,No,Bungie,Square Enix,2013,Sports,No,50.9,Ultra,Good,Good,""Solid game, but the gameplay is amazing."",Offline,2"
"Fortnite,24.8,Adults,31.46,Xbox,Yes,Capcom,Epic Games,2020,Simulation,Yes,26.4,Medium,Average,Excellent,""Disappointing game, but the graphics could be better."",Online,3"
"Just Dance 2024,14.2,Adults,25.14,PlayStation,Yes,Epic Games,Capcom,2013,RPG,No,9.4,High,Average,Good,""Amazing game, but the gameplay is amazing."",Offline,2"
"Portal 2,17.0,Adults,28.26,PC,Yes,Bungie,Innersloth,2021,RPG,Yes,12.8,High,Average,Good,""Great game, but the gameplay is amazing."",Online,7"
"Street Fighter V,14.6,Teens,21.66,Xbox,No,Bungie,Electronic Arts,2012,Adventure,Yes,14.3,Ultra,Average,Good,""Disappointing game, but too many bugs."",Offline,5"
"FIFA 24,25.2,Adults,35.58,PlayStation,No,EA Sports,Electronic Arts,2023,Party,No,19.4,Low,Average,Poor,""Disappointing game, but the graphics could be better."",Online,1"
"Kingdom Hearts III,23.0,Teens,21.16,Mobile,Yes,Game Freak,Activision,2023,Puzzle,Yes,37.1,Low,Excellent,Excellent,""Disappointing game, but the graphics could be better."",Online,4"
"Half-Life: Alyx,39.0,All Ages,52.58,PlayStation,Yes,Rockstar Games,Innersloth,2010,Sports,No,42.6,Medium,Poor,Excellent,""Amazing game, but the graphics could be better."",Online,10"
"Spelunky 2,40.7,All Ages,51.17,Xbox,No,Capcom,Valve,2014,Action,Yes,56.9,Low,Poor,Good,""Great game, but the gameplay is amazing."",Offline,8"
"The Sims 4,30.6,All Ages,45.71,Nintendo Switch,No,Innersloth,Valve,2012,RPG,No,19.7,Medium,Good,Average,""Disappointing game, but too many bugs."",Online,3"
"Kingdom Hearts III,28.3,Kids,47.58,Mobile,Yes,Capcom,Take-Two Interactive,2023,Puzzle,No,20.0,Ultra,Good,Average,""Disappointing game, but the graphics could be better."",Offline,6"
"FIFA 24,31.5,Adults,30.96,PlayStation,No,Capcom,Square Enix,2011,Shooter,No,59.2,High,Average,Good,""Great game, but the graphics could be better."",Offline,6"
"Super Mario Odyssey,32.0,All Ages,35.75,Mobile,No,Rockstar Games,Innersloth,2016,Strategy,Yes,43.0,High,Poor,Average,""Amazing game, but the graphics could be better."",Offline,1"
"Sid Meier�۪s Civilization VI,43.8,Kids,51.74,PlayStation,No,Bungie,Take-Two Interactive,2010,Shooter,No,56.4,Low,Poor,Average,""Disappointing game, but the gameplay is amazing."",Offline,4"
"The Sims 4,21.2,Kids,33.82,PC,Yes,Game Freak,Take-Two Interactive,2023,Party,Yes,19.1,Ultra,Good,Good,""Disappointing game, but the graphics could be better."",Offline,2"
"Pok̩mon Scarlet & Violet,20.3,All Ages,30.14,PC,Yes,Capcom,Square Enix,2023,Fighting,No,13.2,Low,Average,Poor,""Solid game, but the graphics could be better."",Online,2"
"Ghost of Tsushima,33.7,Teens,48.76,PlayStation,No,Game Freak,Take-Two Interactive,2019,Shooter,No,26.4,Medium,Poor,Excellent,""Disappointing game, but the graphics could be better."",Online,6"
"Overwatch 2,33.2,All Ages,49.08,Nintendo Switch,Yes,Innersloth,Innersloth,2014,Action,Yes,27.4,Ultra,Excellent,Poor,""Great game, but the gameplay is amazing."",Online,8"
"League of Legends,30.4,All Ages,28.05,PC,No,EA Sports,Electronic Arts,2013,Party,No,48.7,Ultra,Excellent,Good,""Disappointing game, but the gameplay is amazing."",Offline,10"
"Call of Duty: Modern Warfare 2,32.6,Teens,55.62,Nintendo Switch,Yes,Capcom,Capcom,2019,Party,Yes,10.8,High,Good,Excellent,""Great game, but the graphics could be better."",Online,7"
"Tetris,30.1,Teens,43.19,Xbox,No,Capcom,Electronic Arts,2019,Shooter,No,34.4,High,Poor,Excellent,""Great game, but the graphics could be better."",Offline,10"
"Super Mario Odyssey,29.0,Teens,39.96,Nintendo Switch,No,Valve,Innersloth,2017,Sports,Yes,23.6,High,Average,Good,""Solid game, but too many bugs."",Offline,5"
"Fall Guys,30.4,All Ages,56.66,PC,Yes,EA Sports,Capcom,2017,Shooter,Yes,9.1,Ultra,Poor,Excellent,""Amazing game, but too many bugs."",Offline,1"
"Halo Infinite,24.1,Adults,34.55,Xbox,Yes,Valve,Epic Games,2018,Fighting,Yes,17.9,Ultra,Poor,Excellent,""Great game, but too many bugs."",Offline,7"
"Pillars of Eternity II: Deadfire,24.8,Adults,29.7,Nintendo Switch,Yes,Game Freak,Square Enix,2023,Sports,Yes,39.3,High,Average,Poor,""Great game, but the gameplay is amazing."",Offline,5"
"Tekken 7,21.2,Teens,29.33,Xbox,No,Epic Games,Capcom,2010,RPG,No,18.9,Low,Average,Excellent,""Great game, but too many bugs."",Offline,2"
"Street Fighter V,35.3,Teens,52.77,Xbox,Yes,Bungie,Activision,2018,Action,Yes,32.5,High,Excellent,Poor,""Disappointing game, but the graphics could be better."",Online,6"
"Fall Guys,28.1,All Ages,51.01,PlayStation,No,EA Sports,Innersloth,2011,Strategy,Yes,6.6,Ultra,Excellent,Excellent,""Great game, but the gameplay is amazing."",Online,4"
"Street Fighter V,35.1,All Ages,38.48,PlayStation,No,Nintendo,Square Enix,2018,Fighting,Yes,56.0,Low,Average,Average,""Amazing game, but the gameplay is amazing."",Offline,10"
"1000-Piece Puzzle,38.6,Kids,50.55,PlayStation,Yes,Innersloth,Electronic Arts,2020,Sports,Yes,41.7,Ultra,Excellent,Excellent,""Solid game, but too many bugs."",Online,4"
"Kingdom Hearts III,23.0,Kids,34.03,PlayStation,No,Capcom,Valve,2022,Strategy,No,24.5,Medium,Good,Excellent,""Great game, but too many bugs."",Offline,6"
"Spelunky 2,43.9,Kids,57.89,PC,No,Bungie,Innersloth,2020,Party,Yes,55.7,Low,Excellent,Excellent,""Great game, but the graphics could be better."",Offline,8"
"Minecraft,46.9,All Ages,57.55,Xbox,Yes,EA Sports,Innersloth,2013,Puzzle,Yes,58.0,Medium,Good,Good,""Amazing game, but the graphics could be better."",Offline,7"
"Call of Duty: Modern Warfare 2,36.1,Adults,41.26,Nintendo Switch,No,Nintendo,Valve,2016,RPG,Yes,48.8,High,Good,Average,""Amazing game, but the gameplay is amazing."",Offline,10"
"Halo Infinite,29.2,Kids,32.47,Nintendo Switch,No,Valve,Innersloth,2010,RPG,No,41.2,High,Average,Good,""Solid game, but too many bugs."",Offline,3"
"Pok̩mon Scarlet & Violet,41.7,Kids,56.28,Xbox,No,Innersloth,Epic Games,2023,Adventure,Yes,38.6,Medium,Average,Average,""Great game, but the graphics could be better."",Offline,7"
"Ghost of Tsushima,19.2,All Ages,27.65,Mobile,Yes,Rockstar Games,Innersloth,2011,Adventure,No,11.6,High,Excellent,Excellent,""Amazing game, but the graphics could be better."",Online,7"
"Counter-Strike: Global Offensive,43.2,Kids,51.14,Xbox,No,Valve,Capcom,2017,Fighting,No,58.1,Ultra,Good,Poor,""Great game, but too many bugs."",Offline,7"
"Spelunky 2,37.0,Adults,50.24,PlayStation,Yes,Rockstar Games,Innersloth,2011,Simulation,No,37.1,High,Average,Good,""Disappointing game, but the gameplay is amazing."",Online,2"
"Ghost of Tsushima,27.8,All Ages,44.48,Xbox,Yes,Capcom,Activision,2020,Simulation,No,19.2,Ultra,Average,Average,""Solid game, but the graphics could be better."",Offline,5"
"Tomb Raider (2013),29.0,Kids,47.22,Xbox,Yes,Capcom,Capcom,2020,Simulation,No,13.7,High,Excellent,Average,""Disappointing game, but the gameplay is amazing."",Offline,5"
"Pok̩mon Scarlet & Violet,28.4,Adults,20.65,Mobile,Yes,Epic Games,Nintendo,2014,Simulation,No,57.5,Medium,Average,Average,""Amazing game, but too many bugs."",Offline,2"
"FIFA 24,37.4,Adults,49.24,Nintendo Switch,No,Epic Games,Take-Two Interactive,2015,Party,Yes,43.9,High,Poor,Good,""Disappointing game, but too many bugs."",Online,5"
"Tetris,28.6,Adults,32.86,Mobile,No,EA Sports,Square Enix,2012,RPG,No,43.2,High,Average,Average,""Disappointing game, but too many bugs."",Online,1"
"Bioshock Infinite,26.9,Teens,31.41,PC,Yes,Valve,Activision,2021,Adventure,Yes,33.1,Low,Excellent,Excellent,""Solid game, but the graphics could be better."",Offline,2"
"FIFA 24,30.1,All Ages,45.49,Mobile,No,CD Projekt Red,Take-Two Interactive,2022,Simulation,Yes,28.4,Medium,Average,Average,""Disappointing game, but the graphics could be better."",Online,8"
"Fortnite,30.1,Adults,51.06,Nintendo Switch,No,Game Freak,Square Enix,2020,Shooter,No,14.5,Low,Average,Excellent,""Disappointing game, but the gameplay is amazing."",Online,10"
"Cuphead,36.4,Kids,53.93,PC,Yes,CD Projekt Red,Valve,2010,Puzzle,Yes,36.2,Low,Average,Excellent,""Amazing game, but the gameplay is amazing."",Offline,6"
"1000-Piece Puzzle,26.0,Kids,30.21,Nintendo Switch,Yes,Epic Games,Innersloth,2020,Puzzle,No,37.7,High,Good,Good,""Amazing game, but the graphics could be better."",Online,10"
"The Sims 4,24.9,Kids,32.12,Nintendo Switch,Yes,Bungie,Innersloth,2019,Action,No,23.6,Low,Average,Excellent,""Amazing game, but too many bugs."",Online,3"
"Red Dead Redemption 2,23.3,All Ages,40.44,PlayStation,Yes,Innersloth,Innersloth,2021,Strategy,Yes,7.0,High,Good,Good,""Solid game, but the graphics could be better."",Offline,3"
"The Legend of Zelda: Breath of the Wild,28.8,Adults,35.07,PlayStation,No,Innersloth,Take-Two Interactive,2019,Action,No,33.4,Ultra,Poor,Average,""Solid game, but the gameplay is amazing."",Offline,4"
"Super Smash Bros. Ultimate,15.7,Teens,26.08,PlayStation,No,Game Freak,Innersloth,2014,Puzzle,Yes,9.8,Medium,Average,Excellent,""Solid game, but the graphics could be better."",Offline,7"
"1000-Piece Puzzle,32.4,Teens,38.06,PC,Yes,Game Freak,Capcom,2011,Party,No,49.0,High,Average,Good,""Solid game, but the gameplay is amazing."",Offline,6"
"Mario Kart 8 Deluxe,28.8,Adults,50.78,Xbox,No,Innersloth,Take-Two Interactive,2016,Sports,Yes,6.1,Ultra,Good,Poor,""Solid game, but the gameplay is amazing."",Online,8"
"Minecraft,33.9,Adults,44.46,Nintendo Switch,No,Rockstar Games,Valve,2012,Puzzle,No,42.6,Low,Excellent,Average,""Disappointing game, but too many bugs."",Offline,3"
"Pok̩mon Scarlet & Violet,16.9,Teens,29.57,PlayStation,No,Epic Games,Square Enix,2016,Puzzle,Yes,12.6,Ultra,Average,Excellent,""Amazing game, but too many bugs."",Offline,2"
"Kingdom Hearts III,39.0,Adults,51.78,Mobile,No,Game Freak,Activision,2019,Adventure,No,48.5,Medium,Poor,Good,""Amazing game, but the graphics could be better."",Offline,6"
"Counter-Strike: Global Offensive,32.6,Kids,59.72,PC,No,EA Sports,Valve,2019,Strategy,Yes,7.6,High,Average,Poor,""Great game, but too many bugs."",Online,6"
"Minecraft,27.0,Teens,46.76,PlayStation,Yes,Innersloth,Innersloth,2017,Strategy,No,16.8,High,Poor,Excellent,""Great game, but too many bugs."",Online,1"
"Super Smash Bros. Ultimate,27.1,Kids,44.02,PlayStation,No,CD Projekt Red,Valve,2019,Strategy,No,10.5,Ultra,Good,Excellent,""Disappointing game, but the graphics could be better."",Online,3"
"Half-Life: Alyx,13.0,Teens,21.27,Xbox,Yes,Game Freak,Nintendo,2020,Shooter,No,5.8,Medium,Average,Excellent,""Great game, but the gameplay is amazing."",Offline,4"
"The Legend of Zelda: Breath of the Wild,29.1,Kids,33.85,PC,Yes,Innersloth,Nintendo,2015,Party,Yes,39.0,Ultra,Poor,Poor,""Great game, but too many bugs."",Online,1"
"Super Smash Bros. Ultimate,23.5,Kids,41.93,PlayStation,No,Nintendo,Capcom,2020,Party,No,7.4,Ultra,Poor,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,7"
"The Legend of Zelda: Breath of the Wild,14.6,Teens,28.93,PC,Yes,Innersloth,Epic Games,2010,Simulation,No,6.7,Ultra,Average,Poor,""Great game, but the gameplay is amazing."",Online,1"
"Street Fighter V,33.7,Kids,52.23,PC,No,Bungie,Nintendo,2018,Adventure,No,29.8,Low,Excellent,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,10"
"Rocket League,25.2,Teens,30.71,Nintendo Switch,No,Rockstar Games,Innersloth,2022,Simulation,No,31.4,Medium,Poor,Poor,""Disappointing game, but the graphics could be better."",Online,10"
"The Legend of Zelda: Breath of the Wild,32.0,Kids,48.37,Mobile,No,Bungie,Take-Two Interactive,2022,Adventure,No,30.4,Low,Average,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,6"
"Portal 2,38.2,Adults,42.24,Nintendo Switch,No,Bungie,Valve,2012,Strategy,No,53.1,High,Average,Excellent,""Solid game, but the gameplay is amazing."",Offline,1"
"Overwatch 2,37.9,Adults,56.33,PlayStation,No,Game Freak,Innersloth,2013,Shooter,Yes,34.2,Ultra,Average,Average,""Amazing game, but the gameplay is amazing."",Online,7"
"The Witcher 3: Wild Hunt,37.8,All Ages,55.72,PC,No,Valve,Electronic Arts,2014,Puzzle,Yes,38.4,Low,Poor,Average,""Disappointing game, but the graphics could be better."",Online,4"
"Red Dead Redemption 2,18.6,Kids,31.25,PC,Yes,Valve,Epic Games,2010,RPG,Yes,16.1,Medium,Average,Poor,""Disappointing game, but the graphics could be better."",Online,10"
"Rocket League,26.4,Teens,29.41,Mobile,Yes,Epic Games,Activision,2013,Adventure,Yes,38.2,Low,Good,Average,""Disappointing game, but the graphics could be better."",Online,4"
"Pillars of Eternity II: Deadfire,33.2,Adults,41.2,Nintendo Switch,No,Innersloth,Epic Games,2014,Adventure,Yes,45.4,Medium,Poor,Excellent,""Amazing game, but the gameplay is amazing."",Offline,6"
"Hades,34.4,Teens,57.02,Mobile,No,EA Sports,Epic Games,2019,Strategy,Yes,25.9,High,Good,Average,""Solid game, but the gameplay is amazing."",Online,7"
"Among Us,33.8,Kids,56.21,Xbox,No,Capcom,Epic Games,2022,Party,Yes,15.7,High,Excellent,Good,""Solid game, but the graphics could be better."",Online,1"
"Fortnite,20.0,Teens,35.16,PC,Yes,CD Projekt Red,Epic Games,2011,Puzzle,No,8.1,Low,Poor,Good,""Disappointing game, but the graphics could be better."",Offline,8"
"Pillars of Eternity II: Deadfire,22.5,Adults,32.68,Xbox,No,Rockstar Games,Square Enix,2014,RPG,No,16.9,Ultra,Average,Poor,""Amazing game, but the graphics could be better."",Offline,7"
"Red Dead Redemption 2,27.9,Kids,36.1,Mobile,No,Nintendo,Nintendo,2012,Adventure,Yes,26.3,Medium,Average,Excellent,""Disappointing game, but too many bugs."",Online,4"
"Animal Crossing: New Horizons,36.3,Kids,47.8,Xbox,No,EA Sports,Square Enix,2015,RPG,Yes,38.2,Low,Good,Average,""Solid game, but the graphics could be better."",Online,6"
"The Witcher 3: Wild Hunt,23.6,Teens,38.12,Mobile,Yes,Innersloth,Innersloth,2010,Puzzle,No,20.6,High,Excellent,Good,""Solid game, but the gameplay is amazing."",Online,1"
"Hitman 3,30.7,Adults,46.25,PlayStation,No,CD Projekt Red,Square Enix,2012,Puzzle,Yes,26.3,Low,Average,Good,""Great game, but the gameplay is amazing."",Offline,3"
"Hitman 3,29.9,Adults,24.96,PC,No,Nintendo,Valve,2020,Sports,No,53.2,Medium,Excellent,Average,""Great game, but too many bugs."",Offline,4"
